Vessel name,From,To,Loading condition,hours since last position [h],longitude,latitude
M/S Eco (06),ITTAR,USMSY,Ballast,0,17.21680778,40.4747175
M/S Eco (06),ITTAR,USMSY,Ballast,1,17.19524766,40.43781081
M/S Eco (06),ITTAR,USMSY,Ballast,1,17.139055,40.30150833
M/S Eco (06),ITTAR,USMSY,Ballast,1,17.16264245,40.1154672
M/S Eco (06),ITTAR,USMSY,Ballast,1,17.16920243,39.92355577
M/S Eco (06),ITTAR,USMSY,Ballast,1,17.17572574,39.73164397
M/S Eco (06),ITTAR,USMSY,Ballast,1,17.18221283,39.5397318
M/S Eco (06),ITTAR,USMSY,Ballast,1,17.18866415,39.34781928
M/S Eco (06),ITTAR,USMSY,Ballast,1,17.19508013,39.15590641
M/S Eco (06),ITTAR,USMSY,Ballast,1,17.20146121,38.96399318
M/S Eco (06),ITTAR,USMSY,Ballast,1,17.20780781,38.77207961
M/S Eco (06),ITTAR,USMSY,Ballast,1,17.06316559,38.59490162
M/S Eco (06),ITTAR,USMSY,Ballast,1,16.91869807,38.42870353
M/S Eco (06),ITTAR,USMSY,Ballast,1,16.77295683,38.26012719
M/S Eco (06),ITTAR,USMSY,Ballast,1,16.6178087,38.08247705
M/S Eco (06),ITTAR,USMSY,Ballast,1,16.47169047,37.91394008
M/S Eco (06),ITTAR,USMSY,Ballast,1,16.32624059,37.74522328
M/S Eco (06),ITTAR,USMSY,Ballast,1,16.178255,37.57413333
M/S Eco (06),ITTAR,USMSY,Ballast,1,16.03672291,37.41015801
M/S Eco (06),ITTAR,USMSY,Ballast,1,15.88268563,37.23046284
M/S Eco (06),ITTAR,USMSY,Ballast,1,15.739235,37.06221
M/S Eco (06),ITTAR,USMSY,Ballast,1,15.59900647,36.89425277
M/S Eco (06),ITTAR,USMSY,Ballast,1,15.44430926,36.71379703
M/S Eco (06),ITTAR,USMSY,Ballast,1,15.29849833,36.55196333
M/S Eco (06),ITTAR,USMSY,Ballast,1,15.08540095,36.49817884
M/S Eco (06),ITTAR,USMSY,Ballast,1,14.84496895,36.48523529
M/S Eco (06),ITTAR,USMSY,Ballast,1,14.620375,36.469485
M/S Eco (06),ITTAR,USMSY,Ballast,1,14.39857815,36.51739311
M/S Eco (06),ITTAR,USMSY,Ballast,1,14.12811491,36.58427616
M/S Eco (06),ITTAR,USMSY,Ballast,1,13.87419167,36.64857
M/S Eco (06),ITTAR,USMSY,Ballast,1,13.59835431,36.71692147
M/S Eco (06),ITTAR,USMSY,Ballast,1,13.3305463,36.77984424
M/S Eco (06),ITTAR,USMSY,Ballast,1,13.06071167,36.84772667
M/S Eco (06),ITTAR,USMSY,Ballast,1,12.79570878,36.912207
M/S Eco (06),ITTAR,USMSY,Ballast,1,12.5052117,36.99544406
M/S Eco (06),ITTAR,USMSY,Ballast,1,12.21798833,37.07370167
M/S Eco (06),ITTAR,USMSY,Ballast,1,11.95172655,37.14921816
M/S Eco (06),ITTAR,USMSY,Ballast,1,11.6617544,37.26015148
M/S Eco (06),ITTAR,USMSY,Ballast,1,11.41578833,37.37455
M/S Eco (06),ITTAR,USMSY,Ballast,1,11.17844235,37.46935003
M/S Eco (06),ITTAR,USMSY,Ballast,1,10.92574503,37.52930824
M/S Eco (06),ITTAR,USMSY,Ballast,1,10.66068481,37.5790486
M/S Eco (06),ITTAR,USMSY,Ballast,1,10.39189414,37.62759846
M/S Eco (06),ITTAR,USMSY,Ballast,1,10.1227543,37.67553781
M/S Eco (06),ITTAR,USMSY,Ballast,1,9.853268675,37.72286479
M/S Eco (06),ITTAR,USMSY,Ballast,1,9.5834407,37.76957757
M/S Eco (06),ITTAR,USMSY,Ballast,1,9.313273853,37.81567435
M/S Eco (06),ITTAR,USMSY,Ballast,1,9.042771667,37.86115333
M/S Eco (06),ITTAR,USMSY,Ballast,1,8.767097363,37.85710462
M/S Eco (06),ITTAR,USMSY,Ballast,1,8.471356085,37.82427334
M/S Eco (06),ITTAR,USMSY,Ballast,1,8.175880775,37.79070328
M/S Eco (06),ITTAR,USMSY,Ballast,1,7.880676772,37.75639601
M/S Eco (06),ITTAR,USMSY,Ballast,1,7.585749362,37.72135312
M/S Eco (06),ITTAR,USMSY,Ballast,1,7.291103782,37.68557624
M/S Eco (06),ITTAR,USMSY,Ballast,1,6.996745221,37.64906701
M/S Eco (06),ITTAR,USMSY,Ballast,1,6.702678814,37.61182713
M/S Eco (06),ITTAR,USMSY,Ballast,1,6.408909644,37.5738583
M/S Eco (06),ITTAR,USMSY,Ballast,1,6.115442744,37.53516227
M/S Eco (06),ITTAR,USMSY,Ballast,1,5.82228309,37.49574081
M/S Eco (06),ITTAR,USMSY,Ballast,1,5.528650387,37.45549171
M/S Eco (06),ITTAR,USMSY,Ballast,1,5.243605963,37.41436561
M/S Eco (06),ITTAR,USMSY,Ballast,1,4.945178634,37.37199825
M/S Eco (06),ITTAR,USMSY,Ballast,1,4.656524453,37.33305285
M/S Eco (06),ITTAR,USMSY,Ballast,1,4.365809062,37.29545938
M/S Eco (06),ITTAR,USMSY,Ballast,1,4.073398627,37.25784506
M/S Eco (06),ITTAR,USMSY,Ballast,1,3.781282862,37.2195124
M/S Eco (06),ITTAR,USMSY,Ballast,1,3.489466613,37.1804631
M/S Eco (06),ITTAR,USMSY,Ballast,1,3.198401999,37.14143639
M/S Eco (06),ITTAR,USMSY,Ballast,1,2.90922699,37.10433643
M/S Eco (06),ITTAR,USMSY,Ballast,1,2.620337787,37.06653496
M/S Eco (06),ITTAR,USMSY,Ballast,1,2.331739049,37.02803364
M/S Eco (06),ITTAR,USMSY,Ballast,1,2.043435383,36.98883416
M/S Eco (06),ITTAR,USMSY,Ballast,1,1.765785927,36.95451175
M/S Eco (06),ITTAR,USMSY,Ballast,1,1.469631763,36.91880188
M/S Eco (06),ITTAR,USMSY,Ballast,1,1.173757679,36.88235756
M/S Eco (06),ITTAR,USMSY,Ballast,1,0.87816872,36.84518046
M/S Eco (06),ITTAR,USMSY,Ballast,1,0.58286988,36.80727229
M/S Eco (06),ITTAR,USMSY,Ballast,1,0.287866102,36.76863478
M/S Eco (06),ITTAR,USMSY,Ballast,1,-0.006837723,36.72926969
M/S Eco (06),ITTAR,USMSY,Ballast,1,-0.301236758,36.6891788
M/S Eco (06),ITTAR,USMSY,Ballast,1,-0.595326216,36.64836393
M/S Eco (06),ITTAR,USMSY,Ballast,1,-0.889101366,36.60682692
M/S Eco (06),ITTAR,USMSY,Ballast,1,-1.180352231,36.5660891
M/S Eco (06),ITTAR,USMSY,Ballast,1,-1.469789177,36.52568688
M/S Eco (06),ITTAR,USMSY,Ballast,1,-1.764275238,36.48472933
M/S Eco (06),ITTAR,USMSY,Ballast,1,-2.02648134,36.4447077
M/S Eco (06),ITTAR,USMSY,Ballast,1,-2.321293333,36.41853
M/S Eco (06),ITTAR,USMSY,Ballast,1,-2.620491251,36.39192334
M/S Eco (06),ITTAR,USMSY,Ballast,1,-2.925384866,36.35837752
M/S Eco (06),ITTAR,USMSY,Ballast,1,-3.215964433,36.32711157
M/S Eco (06),ITTAR,USMSY,Ballast,1,-3.501324371,36.29515905
M/S Eco (06),ITTAR,USMSY,Ballast,1,-3.798709845,36.26494628
M/S Eco (06),ITTAR,USMSY,Ballast,1,-4.06701,36.23083
M/S Eco (06),ITTAR,USMSY,Ballast,1,-4.323105998,36.19989827
M/S Eco (06),ITTAR,USMSY,Ballast,1,-4.57315224,36.17983506
M/S Eco (06),ITTAR,USMSY,Ballast,1,-4.815625,36.14103667
M/S Eco (06),ITTAR,USMSY,Ballast,1,-5.050861368,36.07494747
M/S Eco (06),ITTAR,USMSY,Ballast,1,-5.302229337,36.0361784
M/S Eco (06),ITTAR,USMSY,Ballast,1,-5.540655,35.97223667
M/S Eco (06),ITTAR,USMSY,Ballast,1,-5.755055418,35.95241275
M/S Eco (06),ITTAR,USMSY,Ballast,1,-6.011300702,35.95402858
M/S Eco (06),ITTAR,USMSY,Ballast,1,-6.269915,35.953505
M/S Eco (06),ITTAR,USMSY,Ballast,1,-6.560746848,35.92648706
M/S Eco (06),ITTAR,USMSY,Ballast,1,-6.851305559,35.8987372
M/S Eco (06),ITTAR,USMSY,Ballast,1,-7.143445477,35.87030176
M/S Eco (06),ITTAR,USMSY,Ballast,1,-7.439930044,35.84224678
M/S Eco (06),ITTAR,USMSY,Ballast,1,-7.735837839,35.81340293
M/S Eco (06),ITTAR,USMSY,Ballast,1,-8.031820793,35.78228132
M/S Eco (06),ITTAR,USMSY,Ballast,1,-8.319692029,35.75442768
M/S Eco (06),ITTAR,USMSY,Ballast,1,-8.609919094,35.72722623
M/S Eco (06),ITTAR,USMSY,Ballast,1,-8.884611841,35.70195372
M/S Eco (06),ITTAR,USMSY,Ballast,1,-9.176028617,35.67299748
M/S Eco (06),ITTAR,USMSY,Ballast,1,-9.479842505,35.64392056
M/S Eco (06),ITTAR,USMSY,Ballast,1,-9.778895609,35.61538688
M/S Eco (06),ITTAR,USMSY,Ballast,1,-10.04609302,35.58845317
M/S Eco (06),ITTAR,USMSY,Ballast,1,-10.33680078,35.55934237
M/S Eco (06),ITTAR,USMSY,Ballast,1,-10.62385689,35.53236201
