Vessel name,PORT_UN_FROM,PORT_UN_TO,HOURS_UNDERWAY [h],total_distance [nm],CARGO_to_DWT_pct [%],Total_CO2 [t],StandardShipDesign,VesselTypeGroup
M/S Eco (06),ITTAR,USMSY,450.8,6029.1,0,1950.6486,Sanoyas 83000,Bulk Carrier-Pmax/Kamsarmax
M/S Eco (06),USMSY,CNZOS,1352.5,15011,84.71564345,4914.8987,Sanoyas 83000,Bulk Carrier-Pmax/Kamsarmax
M/S Green (13),USMSY,CNJIN,1368.4,16071,82.48104789,4450.924,Kamsarmax,Bulk Carrier-Pmax/Kamsarmax
M/S Green (13),DEHAM,USMSY,550.0066667,5541,0,1509.3382,Kamsarmax,Bulk Carrier-Pmax/Kamsarmax
M/S Sustainable (15),DEHAM,USMSY,448,5175,0,1373.7468,Hyundai 82BC,Bulk Carrier-Pmax/Kamsarmax
M/S Sustainable (15),USMSY,CNZHA,1366.6,14460,84.49295281,4010.1921,Hyundai 82BC,Bulk Carrier-Pmax/Kamsarmax
M/S Gren (17),ITBDS,USMSY,578.2166667,6302,0,1614.5756,Sungdong 82BC,Bulk Carrier-Pmax/Kamsarmax
M/S Gren (17),USMSY,CNZOS,1056.666667,10740,85.01179303,3275.4518,Sungdong 82BC,Bulk Carrier-Pmax/Kamsarmax
M/S Innovation (24),DEBKE,USMSY,451.6,5640,0,1537.9559,Kamsarmax,Bulk Carrier-Pmax/Kamsarmax
M/S Innovation (24),USMSY,CNTSN,816.3,10471.5,85.20360774,3586.2561,Kamsarmax,Bulk Carrier-Pmax/Kamsarmax
M/S Ocean (24),ITPTO,USMSY,396.3,5913.4,0,1332.7828,SDARI KMAX 82,Bulk Carrier-Pmax/Kamsarmax
M/S Ocean (24),USMSY,CNZOS,743.25,9744.33,88.54129281,3256.5693,SDARI KMAX 82,Bulk Carrier-Pmax/Kamsarmax
